pathway	par_name	threshold	decision_strategy_name	estimate	2.5%	97.5%
Overall	net_benefit	1e-9	mced_test	0.044688118520096395	0.039355418268703084	0.050366820119936116
Overall	net_benefit	0.001	mced_test	0.04469780158561394	0.03937982045730846	0.050356057156825076
Overall	net_benefit	0.002	mced_test	0.044669073964600986	0.03937088664163237	0.05028523721837724
Overall	net_benefit	0.003	mced_test	0.044653719503861246	0.03929341329409435	0.05027981897287401
Overall	net_benefit	0.004	mced_test	0.04464451555328026	0.03930903595675586	0.05031036476934299
Overall	net_benefit	0.005	mced_test	0.04463067676966786	0.03930936865532642	0.050285581979686265
Overall	net_benefit	0.006	mced_test	0.044622474585978844	0.039291900249486145	0.05026525248741567
Overall	net_benefit	0.007	mced_test	0.04460072876076542	0.03929500727040807	0.05025384687515555
Overall	net_benefit	0.008	mced_test	0.04458938172325974	0.03931610911243284	0.05026797124480769
Overall	net_benefit	0.009000000000000001	mced_test	0.04454021171364019	0.0392674090791566	0.05019999850032798
Overall	net_benefit	0.01	mced_test	0.04455100921636408	0.039220360602314736	0.050227118254706236
Overall	net_benefit	0.011	mced_test	0.04453352205223349	0.03921080997282616	0.050191271180551715
Overall	net_benefit	0.012	mced_test	0.04452896568434436	0.03926226450350258	0.05017818252974039
Overall	net_benefit	0.013000000000000001	mced_test	0.044508589671404926	0.03918682210829404	0.050186198457303904
Overall	net_benefit	0.014	mced_test	0.0444860515935613	0.039140979926976134	0.05012334045329527
Overall	net_benefit	0.015	mced_test	0.04447926273536526	0.039180560905098055	0.05012770467954936
Overall	net_benefit	0.016	mced_test	0.04446324501079651	0.03918895451129052	0.05008374808293769
Overall	net_benefit	0.017	mced_test	0.04445204602638494	0.039152150006195145	0.05011457974025692
Overall	net_benefit	0.018000000000000002	mced_test	0.04442373094505447	0.039107275912392825	0.050072885526614035
Overall	net_benefit	0.019	mced_test	0.04441216313145413	0.03908808937102208	0.0500980336407417
Overall	net_benefit	0.02	mced_test	0.044406853652513116	0.03909619595366325	0.050025073500942874
Overall	net_benefit	0.021	mced_test	0.04438276831603776	0.039012171303526764	0.05002383596153992
Overall	net_benefit	0.022	mced_test	0.044363481821000805	0.039060279405887056	0.04999929976891177
Overall	net_benefit	0.023	mced_test	0.04433802219947625	0.03905297807217765	0.049955610700506685
Overall	net_benefit	0.024	mced_test	0.044337666894674006	0.03899623679282415	0.04998910691335717
Overall	net_benefit	0.025	mced_test	0.04431153409667784	0.03902524121531473	0.049957310936868574
Overall	net_benefit	0.026000000000000002	mced_test	0.0443053046210222	0.038994531196144086	0.049949931385255664
Overall	net_benefit	0.027	mced_test	0.04428770638685323	0.03894665316843892	0.04992925223322801
Overall	net_benefit	0.028	mced_test	0.04426455906760693	0.038920436936266144	0.04989155430688763
Overall	net_benefit	0.029	mced_test	0.044258593500012544	0.03891781406051572	0.049895095606685494
Overall	net_benefit	0.03	mced_test	0.044242110153650774	0.0389607381628381	0.04987118956514584
Overall	net_benefit	0.031	mced_test	0.04422181634558536	0.03890781693002429	0.049825592934097905
Overall	net_benefit	0.032	mced_test	0.04421211502957349	0.03889451618477874	0.049850388547386014
Overall	net_benefit	0.033	mced_test	0.044181612049545425	0.038847571372585	0.049784867686675505
Overall	net_benefit	0.034	mced_test	0.044167308292537226	0.03884521797536814	0.04978855805702733
Overall	net_benefit	0.035	mced_test	0.04416251390962536	0.038856966908991826	0.04988371765863612
Overall	net_benefit	0.036000000000000004	mced_test	0.044142437421549365	0.03883356804092452	0.04983298575716441
Overall	net_benefit	0.037	mced_test	0.04411477211664335	0.03880806355999822	0.04980495888477264
Overall	net_benefit	0.038	mced_test	0.04410935400664046	0.03877611438362664	0.04977188003089615
Overall	net_benefit	0.039	mced_test	0.044098365131610064	0.03878640567928791	0.04972038841812403
Overall	net_benefit	0.04	mced_test	0.04407889524288994	0.038732159583244524	0.04972227751542252
Overall	net_benefit	0.041	mced_test	0.044055567534519474	0.038765017246595826	0.04967787004261695
Overall	net_benefit	0.042	mced_test	0.044040315518126254	0.038691953106928884	0.04967515058600101
Overall	net_benefit	0.043000000000000003	mced_test	0.044033296256401434	0.0387451856135225	0.049654757768071905
Overall	net_benefit	0.044	mced_test	0.044023695773068146	0.038703838437614393	0.04963993424872997
Overall	net_benefit	0.045	mced_test	0.04399237355615104	0.038687126632094365	0.04965066488095536
Overall	net_benefit	0.046	mced_test	0.04397853258634954	0.03865918338765137	0.04965591980284181
Overall	net_benefit	0.047	mced_test	0.04396272608919063	0.038635404201515046	0.049611239175775736
Overall	net_benefit	0.048	mced_test	0.04395024923640231	0.03859641665643356	0.04956712867793875
Overall	net_benefit	0.049	mced_test	0.04393232318491003	0.03862417070641252	0.04957648246880356
Overall	net_benefit	0.05	mced_test	0.0439182762995374	0.03860447018032346	0.049535046205196165
Overall	net_benefit	0.051000000000000004	mced_test	0.04390904729913893	0.03853962139526677	0.04954485662233209
Overall	net_benefit	0.052000000000000005	mced_test	0.043881377371319176	0.03856075706161188	0.04952409089006022
Overall	net_benefit	0.053	mced_test	0.043863114622357244	0.03849359040909434	0.04955055358439833
Overall	net_benefit	0.054	mced_test	0.04386644300305301	0.038566145168941045	0.04951996814445902
Overall	net_benefit	0.055	mced_test	0.043822707663681154	0.03847895114478167	0.04946043072687242
Overall	net_benefit	0.056	mced_test	0.04382358165965761	0.038515808117151655	0.04948662840420389
Overall	net_benefit	0.057	mced_test	0.043805037993219116	0.03848290762036703	0.049439807860514925
Overall	net_benefit	0.058	mced_test	0.04378314611623188	0.038468947300040746	0.049435806976180885
Overall	net_benefit	0.059000000000000004	mced_test	0.043767880181338606	0.03846753943750114	0.049384374111360305
Overall	net_benefit	0.06	mced_test	0.043734528215796424	0.03841820160452425	0.04938796689510111
Overall	net_benefit	0.061	mced_test	0.04373383626060645	0.03841270184535891	0.0494191238850176
Overall	net_benefit	0.062	mced_test	0.04370899424982282	0.038385103482852026	0.04933854770377675
Overall	net_benefit	0.063	mced_test	0.04370161225180891	0.0383820456916789	0.049341238481405626
Overall	net_benefit	0.064	mced_test	0.043671639744013106	0.03838880105164075	0.04931399585234409
Overall	net_benefit	0.065	mced_test	0.043666659955252415	0.03830590616669481	0.04929701693374312
Overall	net_benefit	0.066	mced_test	0.043642210856712965	0.03827382070658877	0.04932125801952416
Overall	net_benefit	0.067	mced_test	0.04363951243322302	0.03825722587427244	0.04932959647704056
Overall	net_benefit	0.068	mced_test	0.043606164474453396	0.038312754347345004	0.049268723122821344
Overall	net_benefit	0.069	mced_test	0.04360852793549595	0.03830284408702762	0.049309949932676234
Overall	net_benefit	0.07	mced_test	0.04356512074802751	0.038226155644622596	0.04919975658895511
