pathway	thr	estimate	lower	upper	estimate_none	lower_none	upper_none	estimate_delta	lower_delta	upper_delta	p_useful	estimate_trade_off_negative	lower_trade_off_negative	upper_trade_off_negative
Overall	1e-9	-22810283.23529475	-26890047.659395922	-19036395.080734886	-67522903.05966884	-74366421.11416775	-61037094.97927256	-22810283.23529475	-26890047.659395922	-19036395.080734886	0	-4.39558170914265e-8	-5.253095430324422e-8	-3.7188480017975676e-8
Overall	0.001	-21.878105864647377	-25.998897595652707	-18.087604945118258	-66.52290405966885	-73.36642211416775	-60.03709597927256	-21.878105864647377	-25.998897595652707	-18.087604945118258	0	-0.04580933087891062	-0.05528647950067357	-0.03846316930648727
Overall	0.002	-10.464283536674078	-12.502381998026696	-8.576394521517072	-32.76145202983442	-36.18321105708388	-29.518547989636275	-10.464283536674078	-12.502381998026696	-8.576394521517072	0	-0.09587645952312018	-0.11659911370578104	-0.07998475811760625
Overall	0.003	-6.660283871441423	-8.042737143815083	-5.3918547809761765	-21.50763468655628	-23.788807371389254	-19.345698659757513	-6.660283871441423	-8.042737143815083	-5.3918547809761765	0	-0.1506358139162906	-0.18546493570890962	-0.12433578050672082
Overall	0.004	-4.760787322972917	-5.795493184350888	-3.8100800460824322	-15.880726014917212	-17.59160552854194	-14.25927399481814	-4.760787322972917	-5.795493184350888	-3.8100800460824322	0	-0.21064007907613386	-0.2624616774258204	-0.17254786922261986
Overall	0.005	-3.6212698177048517	-4.448806166290109	-2.8643935140882624	-12.504580811933769	-13.87328442283355	-11.207419195854513	-3.6212698177048517	-4.448806166290109	-2.8643935140882624	0	-0.2771680172480111	-0.3491140428957786	-0.22477940456601092
Overall	0.006	-2.8606954972257737	-3.5407217038741554	-2.234264234725391	-10.25381734327814	-11.394403685694625	-9.172849329878758	-2.8606954972257737	-3.5407217038741554	-2.234264234725391	0	-0.3506148231591258	-0.44757463531121955	-0.2824282967243406
Overall	0.007	-2.3165845974543906	-2.9085982134573745	-1.7759666622310204	-8.646129151381263	-9.62377458773825	-7.71958513989608	-2.3165845974543906	-2.9085982134573745	-1.7759666622310204	0	-0.43311409109873733	-0.5630736327892444	-0.34380822878068745
Overall	0.008	-1.911705343491703	-2.4220830689203914	-1.4349538316995265	-7.440363007458606	-8.295802764270968	-6.629636997409069	-1.911705343491703	-2.4220830689203914	-1.4349538316995265	0	-0.5247807819917921	-0.6968865324522612	-0.4128677553777937
Overall	0.009000000000000001	-1.593872934055008	-2.049827323706808	-1.1739023362730154	-6.50254489551876	-7.262935790463082	-5.781899553252505	-1.593872934055008	-2.049827323706808	-1.1739023362730154	0	-0.6297041709399085	-0.8518596216339175	-0.48784597045907996
