pathway	prob	threshold	decision_strategy	label
Overall	0	1e-9	mced_test	
Overall	0	0.001	mced_test	
Overall	0	0.002	mced_test	
Overall	0	0.003	mced_test	
Overall	0	0.004	mced_test	
Overall	0	0.005	mced_test	
Overall	0	0.006	mced_test	
Overall	0	0.007	mced_test	
Overall	0	0.008	mced_test	
Overall	0	0.009000000000000001	mced_test	
Overall	0	0.01	mced_test	
Overall	0	0.011	mced_test	
Overall	0	0.012	mced_test	
Overall	0	0.013000000000000001	mced_test	
Overall	0	0.014	mced_test	
Overall	0	0.015	mced_test	
Overall	0	0.016	mced_test	
Overall	8e-5	0.017	mced_test	
Overall	9e-4	0.018000000000000002	mced_test	
Overall	0.00398	0.019	mced_test	
Overall	0.01848	0.02	mced_test	
Overall	0.05902	0.021	mced_test	
Overall	0.14632	0.022	mced_test	
Overall	0.286	0.023	mced_test	
Overall	0.46306	0.024	mced_test	
Overall	0.64418	0.025	mced_test	
Overall	0.79458	0.026000000000000002	mced_test	
Overall	0.89696	0.027	mced_test	
Overall	0.95548	0.028	mced_test	
Overall	0.98246	0.029	mced_test	
Overall	0.99404	0.03	mced_test	
Overall	0.99816	0.031	mced_test	
Overall	0.9996	0.032	mced_test	
Overall	0.99992	0.033	mced_test	
Overall	0.99996	0.034	mced_test	
Overall	1	0.035	mced_test	
Overall	1	0.036000000000000004	mced_test	
Overall	1	0.037	mced_test	
Overall	1	0.038	mced_test	
Overall	1	0.039	mced_test	
Overall	1	0.04	mced_test	
Overall	1	0.041	mced_test	
Overall	1	0.042	mced_test	
Overall	1	0.043000000000000003	mced_test	
Overall	1	0.044	mced_test	
Overall	1	0.045	mced_test	
Overall	1	0.046	mced_test	
Overall	1	0.047	mced_test	
Overall	1	0.048	mced_test	
Overall	1	0.049	mced_test	
Overall	1	0.05	mced_test	
Overall	1	0.051000000000000004	mced_test	
Overall	1	0.052000000000000005	mced_test	
Overall	1	0.053	mced_test	
Overall	1	0.054	mced_test	
Overall	1	0.055	mced_test	
Overall	1	0.056	mced_test	
Overall	1	0.057	mced_test	
Overall	1	0.058	mced_test	
Overall	1	0.059000000000000004	mced_test	
Overall	1	0.06	mced_test	
Overall	1	0.061	mced_test	
Overall	1	0.062	mced_test	
Overall	1	0.063	mced_test	
Overall	1	0.064	mced_test	
Overall	1	0.065	mced_test	
Overall	1	0.066	mced_test	
Overall	1	0.067	mced_test	
Overall	1	0.068	mced_test	
Overall	1	0.069	mced_test	
Overall	1	0.07	mced_test	
Overall	1	0.07100000000000001	mced_test	
Overall	1	0.07200000000000001	mced_test	
Overall	1	0.073	mced_test	
Overall	1	0.074	mced_test	
Overall	1	0.075	mced_test	
Gynaecology	0	1e-9	mced_test	
Gynaecology	0	0.001	mced_test	
Gynaecology	0	0.002	mced_test	
Gynaecology	0	0.003	mced_test	
Gynaecology	0	0.004	mced_test	
Gynaecology	0	0.005	mced_test	
Gynaecology	0	0.006	mced_test	
Gynaecology	0	0.007	mced_test	
Gynaecology	4e-5	0.008	mced_test	
Gynaecology	2.8e-4	0.009000000000000001	mced_test	
Gynaecology	7.4e-4	0.01	mced_test	
Gynaecology	0.00304	0.011	mced_test	
Gynaecology	0.00852	0.012	mced_test	
Gynaecology	0.0224	0.013000000000000001	mced_test	
Gynaecology	0.04714	0.014	mced_test	
Gynaecology	0.09222	0.015	mced_test	
Gynaecology	0.15654	0.016	mced_test	
Gynaecology	0.24388	0.017	mced_test	
Gynaecology	0.34218	0.018000000000000002	mced_test	
Gynaecology	0.45058	0.019	mced_test	
Gynaecology	0.5574	0.02	mced_test	
Gynaecology	0.65856	0.021	mced_test	
Gynaecology	0.74588	0.022	mced_test	
Gynaecology	0.82104	0.023	mced_test	
Gynaecology	0.87488	0.024	mced_test	
Gynaecology	0.91808	0.025	mced_test	
Gynaecology	0.94728	0.026000000000000002	mced_test	
Gynaecology	0.9666	0.027	mced_test	
Gynaecology	0.98004	0.028	mced_test	
Gynaecology	0.98742	0.029	mced_test	
Gynaecology	0.99296	0.03	mced_test	
Gynaecology	0.99602	0.031	mced_test	
Gynaecology	0.99808	0.032	mced_test	
Gynaecology	0.99874	0.033	mced_test	
Gynaecology	0.99942	0.034	mced_test	
Gynaecology	0.99982	0.035	mced_test	
Gynaecology	0.99998	0.036000000000000004	mced_test	
Gynaecology	0.99992	0.037	mced_test	
Gynaecology	0.99994	0.038	mced_test	
Gynaecology	0.99998	0.039	mced_test	
Gynaecology	0.99998	0.04	mced_test	
Gynaecology	1	0.041	mced_test	
Gynaecology	1	0.042	mced_test	
Gynaecology	1	0.043000000000000003	mced_test	
Gynaecology	1	0.044	mced_test	
Gynaecology	1	0.045	mced_test	
Gynaecology	1	0.046	mced_test	
Gynaecology	1	0.047	mced_test	
Gynaecology	1	0.048	mced_test	
Gynaecology	1	0.049	mced_test	
Gynaecology	1	0.05	mced_test	
Gynaecology	1	0.051000000000000004	mced_test	
Gynaecology	1	0.052000000000000005	mced_test	
Gynaecology	1	0.053	mced_test	
Gynaecology	1	0.054	mced_test	
Gynaecology	1	0.055	mced_test	
Gynaecology	1	0.056	mced_test	
Gynaecology	1	0.057	mced_test	
Gynaecology	1	0.058	mced_test	
Gynaecology	1	0.059000000000000004	mced_test	
Gynaecology	1	0.06	mced_test	
Gynaecology	1	0.061	mced_test	
Gynaecology	1	0.062	mced_test	
Gynaecology	1	0.063	mced_test	
Gynaecology	1	0.064	mced_test	
Gynaecology	1	0.065	mced_test	
Gynaecology	1	0.066	mced_test	
Gynaecology	1	0.067	mced_test	
Gynaecology	1	0.068	mced_test	
Gynaecology	1	0.069	mced_test	
Gynaecology	1	0.07	mced_test	
Gynaecology	1	0.07100000000000001	mced_test	
Gynaecology	1	0.07200000000000001	mced_test	
Gynaecology	1	0.073	mced_test	
Gynaecology	1	0.074	mced_test	
Gynaecology	1	0.075	mced_test	
Lower GI	0	1e-9	mced_test	
Lower GI	0	0.001	mced_test	
Lower GI	0	0.002	mced_test	
Lower GI	0	0.003	mced_test	
Lower GI	0	0.004	mced_test	
Lower GI	0	0.005	mced_test	
Lower GI	0	0.006	mced_test	
Lower GI	0	0.007	mced_test	
Lower GI	0	0.008	mced_test	
Lower GI	0	0.009000000000000001	mced_test	
Lower GI	0	0.01	mced_test	
Lower GI	2e-5	0.011	mced_test	
Lower GI	8e-5	0.012	mced_test	
Lower GI	6.6e-4	0.013000000000000001	mced_test	
Lower GI	0.003	0.014	mced_test	
Lower GI	0.0084	0.015	mced_test	
Lower GI	0.02152	0.016	mced_test	
Lower GI	0.05162	0.017	mced_test	
Lower GI	0.1043	0.018000000000000002	mced_test	
Lower GI	0.18162	0.019	mced_test	
Lower GI	0.28382	0.02	mced_test	
Lower GI	0.40062	0.021	mced_test	
Lower GI	0.52766	0.022	mced_test	
Lower GI	0.64704	0.023	mced_test	
Lower GI	0.7497	0.024	mced_test	
Lower GI	0.83572	0.025	mced_test	
Lower GI	0.89366	0.026000000000000002	mced_test	
Lower GI	0.93704	0.027	mced_test	
Lower GI	0.96244	0.028	mced_test	
Lower GI	0.98086	0.029	mced_test	
Lower GI	0.99026	0.03	mced_test	
Lower GI	0.9948	0.031	mced_test	
Lower GI	0.99734	0.032	mced_test	
Lower GI	0.99868	0.033	mced_test	
Lower GI	0.99956	0.034	mced_test	
Lower GI	0.9998	0.035	mced_test	
Lower GI	0.9999	0.036000000000000004	mced_test	
Lower GI	0.99996	0.037	mced_test	
Lower GI	1	0.038	mced_test	
Lower GI	0.99998	0.039	mced_test	
Lower GI	1	0.04	mced_test	
Lower GI	1	0.041	mced_test	
Lower GI	1	0.042	mced_test	
Lower GI	1	0.043000000000000003	mced_test	
Lower GI	1	0.044	mced_test	
Lower GI	1	0.045	mced_test	
Lower GI	1	0.046	mced_test	
Lower GI	1	0.047	mced_test	
Lower GI	1	0.048	mced_test	
Lower GI	1	0.049	mced_test	
Lower GI	1	0.05	mced_test	
Lower GI	1	0.051000000000000004	mced_test	
Lower GI	1	0.052000000000000005	mced_test	
Lower GI	1	0.053	mced_test	
Lower GI	1	0.054	mced_test	
Lower GI	1	0.055	mced_test	
Lower GI	1	0.056	mced_test	
Lower GI	1	0.057	mced_test	
Lower GI	1	0.058	mced_test	
Lower GI	1	0.059000000000000004	mced_test	
Lower GI	1	0.06	mced_test	
Lower GI	1	0.061	mced_test	
Lower GI	1	0.062	mced_test	
Lower GI	1	0.063	mced_test	
Lower GI	1	0.064	mced_test	
Lower GI	1	0.065	mced_test	
Lower GI	1	0.066	mced_test	
Lower GI	1	0.067	mced_test	
Lower GI	1	0.068	mced_test	
Lower GI	1	0.069	mced_test	
Lower GI	1	0.07	mced_test	
Lower GI	1	0.07100000000000001	mced_test	
Lower GI	1	0.07200000000000001	mced_test	
Lower GI	1	0.073	mced_test	
Lower GI	1	0.074	mced_test	
Lower GI	1	0.075	mced_test	
Lung	0	1e-9	mced_test	
Lung	0	0.001	mced_test	
Lung	0	0.002	mced_test	
