pathway	thr	estimate	lower	upper	estimate_none	lower_none	upper_none	estimate_delta	lower_delta	upper_delta	p_useful	estimate_trade_off_negative	lower_trade_off_negative	upper_trade_off_negative
Overall	1e-9	-22822592.949631613	-26916087.542473365	-19018651.754902396	-67510711.42503989	-74324089.41343613	-61059661.063187435	-22822592.949631613	-26916087.542473365	-19018651.754902396	0	-4.393262570370935e-8	-5.257996271981053e-8	-3.715250213993134e-8
Overall	0.001	-21.857608641011563	-25.975703269117	-18.059729124041116	-66.51071242503988	-73.32409041343614	-60.05966206318744	-21.857608641011563	-25.975703269117	-18.059729124041116	0	-0.045868688151704945	-0.05537181610733651	-0.03849751399046997
Overall	0.002	-10.465488304184053	-12.523717378672323	-8.55012374426208	-32.75535621251994	-36.16204520671806	-29.529831031593716	-10.465488304184053	-12.523717378672323	-8.55012374426208	0	-0.0958513779296857	-0.11695737160784254	-0.0798484962393324
Overall	0.003	-6.6636513598967415	-8.033328300228753	-5.4117190400859805	-21.503570808346627	-23.774696804478705	-19.353220687729145	-6.6636513598967415	-8.033328300228753	-5.4117190400859805	0	-0.15046592555420263	-0.1847841679498721	-0.12448140579192948
Overall	0.004	-4.761193733493188	-5.785369392381844	-3.819677534050748	-15.877678106259973	-17.58102260335903	-14.264915515796858	-4.761193733493188	-5.785369392381844	-3.819677534050748	0	-0.21068608541907552	-0.26180220478966687	-0.1728498099586136
Overall	0.005	-3.6206378078440746	-4.439939090365841	-2.8643128701641687	-12.502142485007978	-13.864818082687224	-11.211932412637488	-3.6206378078440746	-4.439939090365841	-2.8643128701641687	0	-0.2771988751041541	-0.34912387205341733	-0.225228315000088
Overall	0.006	-2.8593287810961523	-3.5422056560236173	-2.2283191165891467	-10.251785404173313	-11.387348402239352	-9.176610343864573	-2.8593287810961523	-3.5422056560236173	-2.2283191165891467	0	-0.3508741780479762	-0.4487687569324545	-0.28230997779979167
Overall	0.007	-2.317455537942832	-2.910781889819265	-1.7790799421156474	-8.644387489291413	-9.617727201919445	-7.722808866169633	-2.317455537942832	-2.910781889819265	-1.7790799421156474	0	-0.4329607899656957	-0.562088288644772	-0.34355030292845246
Overall	0.008	-1.909755719445778	-2.4259773249739434	-1.4313460133122495	-7.438839053129986	-8.290511301679516	-6.632457757898429	-1.909755719445778	-2.4259773249739434	-1.4313460133122495	0	-0.5257392470847847	-0.6986430888824157	-0.4122050069083198
Overall	0.009000000000000001	-1.5968180685358286	-2.0547790879567924	-1.175752169466925	-6.501190269448876	-7.258232268159568	-5.784406895909713	-1.5968180685358286	-2.0547790879567924	-1.175752169466925	0	-0.6287781956929313	-0.8505193747645843	-0.48667032199819615
Overall	0.01	-1.3405213300839445	-1.757165172987541	-0.9632010670471985	-5.751071242503989	-6.432409041343613	-5.105966206318744	-1.3405213300839445	-1.757165172987541	-0.9632010670471985	0	-0.7490735140762743	-1.038204829946813	-0.5690984634749602
Overall	0.011	-1.133369010489179	-1.5080846058923478	-0.7900685933715136	-5.137337493185444	-5.756735492130557	-4.550878369380675	-1.133369010489179	-1.5080846058923478	-0.7900685933715136	0	-0.8865147308063779	-1.2657128880081103	-0.6630927708637111
Overall	0.012	-0.9596745274089715	-1.3042469418488691	-0.645242551008226	-4.625892702086657	-5.193674201119676	-4.088305171932285	-0.9596745274089715	-1.3042469418488691	-0.645242551008226	0	-1.047697193377942	-1.5498047960947336	-0.7667259689056699
Overall	0.013000000000000001	-0.8139026476433249	-1.131610348663725	-0.5219491662695803	-4.193131725003068	-4.717237724110471	-3.6968970817836477	-0.8139026476433249	-1.131610348663725	-0.5219491662695803	0	-1.234652455215048	-1.915895388662568	-0.8836964083438437
Overall	0.014	-0.6891046824134603	-0.983084092612669	-0.4180437581485292	-3.8221937446457064	-4.308863600959723	-3.3614044330848163	-0.6891046824134603	-0.983084092612669	-0.4180437581485292	0	-1.4603960108952068	-2.3920940823316816	-1.0172069793122638
Overall	0.015	-0.5799092420470072	-0.8563179370226123	-0.3278221712780887	-3.5007141616693263	-3.9549393608957413	-3.070644137545829	-0.5799092420470072	-0.8563179370226123	-0.3278221712780887	0	-1.7363221169171386	-3.0504343161511196	-1.1677905564525846
Overall	0.016	-0.4849299584010078	-0.7398605649071918	-0.24804939390928812	-3.219419526564993	-3.6452556508397578	-2.8162288789492145	-0.4849299584010078	-0.7398605649071918	-0.24804939390928812	0	-2.074314561333745	-4.031455123990346	-1.3516060288058238
Overall	0.017	-0.40084418712373493	-0.6415247426535684	-0.17845939742567105	-2.9712183779435226	-3.372005318437419	-2.5917448272463193	-0.40084418712373493	-0.6415247426535684	-0.17845939742567105	8e-5	-2.5169942512631946	-5.600175602683989	-1.5581596193440455
Overall	0.018000000000000002	-0.32703381316646674	-0.5571979758429256	-0.11586049267300194	-2.750595134724438	-3.1291161340797844	-2.3922034479548566	-0.32703381316646674	-0.5571979758429256	-0.11586049267300194	6.8e-4	-3.090793997577073	-8.551858911237568	-1.7907587854356175
Overall	0.019	-0.2601252838464941	-0.47663561707225555	-0.06234781228084976	-2.5531953907915734	-2.9117942322861117	-2.213666424378286	-0.2601252838464941	-0.47663561707225555	-0.06234781228084976	0.00472	-3.8599475892026125	-14.344346288507186	-2.0488273631194858
Overall	0.02	-0.19959979227885177	-0.40523451163242524	-0.00951944057610248	-2.3755356212519945	-2.716204520671806	-2.052983103159372	-0.19959979227885177	-0.40523451163242524	-0.00951944057610248	0.01936	-4.954242182020991	-29.556162110351806	-2.1354720909089075
Overall	0.021	-0.14571344017328172	-0.34034974172605525	0.03371672272106562	-2.214795829763804	-2.539242400639815	-1.9076029553898772	-0.14571344017328172	-0.34034974172605525	0.03371672272106562	0.05846	-6.368171005850535	-61.741351363213354	44.466154434282466
Overall	0.022	-0.09651032745914093	-0.282922633309579	0.07677949640003345	-2.068668746592722	-2.378367746065278	-1.775439184690338	-0.09651032745914093	-0.282922633309579	0.07677949640003345	0.14656	-7.7453601450950185	-111.62087926172171	103.18983559978233
Overall	0.023	-0.05184629287615625	-0.2313957592988963	0.11397203868457322	-1.9352483663060822	-2.231482191888527	-1.654767915790758	-0.05184629287615625	-0.2313957592988963	0.11397203868457322	0.28262	-8.323302443677715	-170.57616438083159	151.4563046849315
Overall	0.024	-0.009881230659919	-0.17920381551792447	0.1483469486530861	-1.8129463510433286	-2.096837100559838	-1.544152585966143	-0.009881230659919	-0.17920381551792447	0.1483469486530861	0.46268	-6.140162863044582	-204.029866881973	191.06623993979625
Overall	0.025	0.027721332768840257	-0.1376860362491584	0.178947471379746	-1.7004284970015955	-1.9729636165374447	-1.4423864825274972	0.027721332768840257	-0.1376860362491584	0.178947471379746	0.64576	8.88720704350786	-175.076220922355	183.4974210909868
Overall	0.026000000000000002	0.06317901060906675	-0.09562527973125678	0.20955478884858192	-1.596565862501534	-1.858618862055235	-1.3484485408918239	0.06317901060906675	-0.09562527973125678	0.20955478884858192	0.79578	9.387837188408412	-127.41717434358189	147.60125723529694
Overall	0.027	0.09560095886549289	-0.05737321339297899	0.23560853818518732	-1.500396756482959	-1.7527440893865232	-1.2614689653032383	0.09560095886549289	-0.05737321339297899	0.23560853818518732	0.89696	8.515489055821922	-78.75570144812397	98.58398488384819
Overall	0.028	0.12551567816693032	-0.022177908830120118	0.2602063913292629	-1.4110968723228532	-1.6544318004798613	-1.1807022165424081	0.12551567816693032	-0.022177908830120118	0.2602063913292629	0.95366	7.350952935490431	-36.54481226938222	58.61548745755029
Overall	0.029	0.1539442021886998	0.012156846037143046	0.28432534342228805	-1.327955600863444	-1.5628996694288315	-1.1055055883857732	0.1539442021886998	0.012156846037143046	0.28432534342228805	0.98258	6.290603553479052	3.1964801568445793	33.0938652266159
Overall	0.03	0.18013781413337876	0.043196948093674324	0.3068085033206024	-1.2503570808346631	-1.4774696804478709	-1.0353220687729145	0.18013781413337876	0.043196948093674324	0.3068085033206024	0.99408	5.45710123365367	3.1909137217953405	19.900781395974402
Overall	0.031	0.20452347141394614	0.0711137984325515	0.3265133459612387	-1.1777649169367705	-1.3975513036592297	-0.9696665181673364	0.20452347141394614	0.0711137984325515	0.3265133459612387	0.99824	4.836468435337528	3.0464844365188504	13.643318105376638
Overall	0.032	0.22770671636210157	0.10095673244069626	0.34648291875404885	-1.1097097632824966	-1.3226278254198787	-0.9081144394746073	0.22770671636210157	0.10095673244069626	0.34648291875404885	0.99978	4.359067084123488	2.884077372050888	9.874394978861691
Overall	0.033	0.2488759523294103	0.12443087522299845	0.3639689879714456	-1.045779164395148	-1.2522451640435186	-0.8502927897935585	0.2488759523294103	0.12443087522299845	0.3639689879714456	0.99978	3.9896772514468752	2.745784869757389	8.023418314991897
Overall	0.034	0.2692619819279728	0.14790265311993422	0.3799593956765889	-0.9856091889717613	-1.1860026592187092	-0.7958724136231597	0.2692619819279728	0.14790265311993422	0.3799593956765889	1	3.6870610005053317	2.631860170794674	6.761203937878682
