pathway	thr	estimate_trade_off_positive	lower_trade_off_positive	upper_trade_off_positive
Overall	1e-9	-43.93262565977673	-52.57996266723056	-37.15250210277885
Overall	0.001	-45.822819463553245	-55.316444291229146	-38.459016476479505
Overall	0.002	-47.829837586913165	-58.36172843231342	-39.844399623426874
Overall	0.003	-50.00484259251332	-61.409938482007504	-41.36932052485124
Overall	0.004	-52.46083526934982	-65.18874899262707	-43.03960267969479
Overall	0.005	-55.16257614572667	-69.47565053863002	-44.82043468501752
Overall	0.006	-58.12815549661471	-74.34602406514328	-46.769352988832146
Overall	0.007	-61.41858063370512	-79.73623866060835	-48.73506440113619
Overall	0.008	-65.19166663851328	-86.63174302141958	-51.113420856631656
Overall	0.009000000000000001	-69.23546577018831	-93.65163337685588	-53.587809900023586
Overall	0.01	-74.15827789355117	-102.7822781647345	-56.34074788402107
Overall	0.011	-79.70573352431887	-113.79909511272915	-59.618068216746416
Overall	0.012	-86.26040225478391	-127.60059487846651	-63.127104773233484
Overall	0.013000000000000001	-93.73861333055788	-145.46067296999647	-67.09295038733644
Overall	0.014	-102.85360476733389	-168.47176894135998	-71.64043440013513
Overall	0.015	-114.01848567755869	-200.31185342725686	-76.6849132070531
Overall	0.016	-127.57034552202538	-247.93449012540657	-83.12377077155821
Overall	0.017	-145.54149111716006	-323.8219186728451	-90.09828857736453
Overall	0.018000000000000002	-168.61998364559372	-466.5514139352945	-97.69584040543198
Overall	0.019	-199.29518868461935	-740.6212478434517	-105.78419174843239
Overall	0.02	-242.75786691902852	-1448.2519434072537	-104.63813245453649
Overall	0.021	-296.8780673679845	-2878.3229992659776	2072.9697710077153
Overall	0.022	-344.31646463195153	-4962.055450816434	4587.257237117434
Overall	0.023	-353.55941249883233	-7245.778808698828	6433.600420747229
Overall	0.024	-249.69995643047974	-8297.214586533817	7770.027090885262
Overall	0.025	346.6010746968062	-6827.972615971859	7156.399422548588
Overall	0.026000000000000002	351.68282390422246	-4773.243377332774	5529.370174891313
Overall	0.027	306.87299449313775	-2838.1221299638632	3552.6747145179233
Overall	0.028	255.183080474882	-1268.6270544942665	2034.794778883527
Overall	0.029	210.62676035959174	107.02697352745125	1108.073901208417
Overall	0.03	176.44627322146857	103.17287700471599	643.4585984698397
Overall	0.031	151.17864238200195	95.22720706408917	426.4637175519335
Overall	0.032	131.86177929473553	87.24334050453938	298.70044811056664
Overall	0.033	116.90963339845841	80.45981724410285	235.11047001809587
Overall	0.034	104.75590960259271	74.77579191140156	192.09773541149454
Overall	0.035	95.01759361413119	69.39161681276765	161.20468669724514
Overall	0.036000000000000004	86.76621929708341	64.96312246197269	139.1093145386956
Overall	0.037	80.084524711884	61.070703087554115	122.48411508596061
Overall	0.038	74.10785851085012	57.60710090590871	108.98466831425662
Overall	0.039	69.02952741868145	54.47764598850198	98.35534834820525
Overall	0.04	64.53601668904565	51.673362767459714	89.82480436602285
Overall	0.041	60.709123318474695	49.046015522162826	82.37681493379642
Overall	0.042	57.252834603828205	46.76387760483374	76.24237694273833
Overall	0.043000000000000003	54.08274131522055	44.71581383971418	70.96570793262372
Overall	0.044	51.304713954726374	42.77276977756479	66.03477169585065
Overall	0.045	48.83343274272196	40.992651403918046	62.02581779442709
Overall	0.046	46.53431716789161	39.36098651637023	58.2999522461245
Overall	0.047	44.43752555790064	37.813531904061364	55.168542397642405
Overall	0.048	42.49403851711732	36.483603842562054	52.233407224719606
Overall	0.049	40.780182637502186	35.17789332028931	49.60675814795577
Overall	0.05	39.135125034325625	33.9083739025011	47.26813468250517
Overall	0.051000000000000004	37.636608713906	32.750251426804816	45.096327860865586
Overall	0.052000000000000005	36.24139797821639	31.7272805804174	43.15545803059486
Overall	0.053	34.96353601563575	30.722316740342084	41.291745842856
Overall	0.054	33.73189181249039	29.77080045145708	39.669552019324684
Overall	0.055	32.63099199894033	28.908602867211187	38.116777369590956
Overall	0.056	31.560589284675864	28.058237957393406	36.6742521113175
Overall	0.057	30.561580528366882	27.27032241217401	35.36502845741266
Overall	0.058	29.63031586880701	26.510429319054023	34.118841430406576
Overall	0.059000000000000004	28.749893734288115	25.828322978468385	32.944491806922656
Overall	0.06	27.93410635189845	25.181758695399928	31.944628801766004
